,factor_1
chr2_86785303_86792021,0.6576614
chr1_97942028_97942898,0.6035111
chr19_16266368_16267026,0.6020339
chr7_129553884_129554654,0.5941564
chr11_46362872_46363923,0.58987385
chr1_184840235_184841339,0.5829089
chr2_149069166_149069804,0.5826869
chr14_64696367_64696940,0.58040226
chr15_89821021_89822432,0.57891434
chr6_130381459_130382343,0.5784096
chr10_98391000_98391912,0.5783051
chr9_127719211_127720938,0.57827854
chr10_91210170_91210890,0.57752216
chr15_61169828_61170418,0.57702595
chr14_55762706_55763309,0.57578766
chr1_53409765_53410570,0.57567436
chr10_119095626_119096137,0.5750815
chr11_115217787_115218484,0.5749554
chr10_31751245_31751856,0.5742272
chr8_52793067_52793816,0.57283354
chr21_34834943_34837035,0.572678
chr16_3625886_3626854,0.5726632
chr4_6177668_6178274,0.57159764
chr8_419032_419512,0.57157034
chr12_26130561_26131275,0.5712854
chr11_129846342_129847127,0.5709469
chr11_72807227_72808716,0.56963784
chr6_158808735_158809689,0.56942636
chr2_149160806_149161370,0.5685397
chr11_114080000_114080791,0.5682502
chr12_56192868_56193520,0.56817997
chr15_58526195_58527071,0.56805706
chr3_4393992_4394823,0.5680437
chr9_111866877_111867455,0.5678317
chr11_1589084_1589696,0.5677447
chr15_44690116_44690814,0.56774175
chr20_32155001_32155750,0.5674572
chr14_52400650_52401472,0.5673997
chr3_46213024_46213910,0.56737083
chr12_89742367_89743109,0.5673084
chr14_64673476_64674263,0.5671853
chr16_47565358_47566046,0.5671571
chr13_30865254_30865835,0.5670508
chr1_46594985_46595670,0.5667993
chr6_118796417_118797115,0.566586
chr9_114685899_114686383,0.56597894
chr8_8942504_8943041,0.56575596
chr1_207806889_207808085,0.5655069
chr2_233976615_233977285,0.56534916
chr2_9681050_9681911,0.56487405
chr2_169105350_169105932,0.5646359
chr6_137536000_137537298,0.5641417
chr17_72617924_72618644,0.5640229
chr9_127838320_127839160,0.563633
chr16_81821031_81822234,0.56348604
chr3_27521387_27522005,0.56339276
chr20_62703427_62703932,0.56301445
chr2_70043209_70044187,0.56301343
chr2_20185547_20186883,0.5630122
chr6_111780250_111781739,0.56261754
chr14_52299642_52300203,0.5623642
chrX_19678699_19679496,0.56207234
chr3_188974751_188975647,0.5615845
chr6_16503712_16504629,0.56136686
chr5_178312754_178313221,0.5611728
chr3_197674620_197675021,0.5607029
chr4_122117657_122118554,0.56056803
chr1_184843540_184844383,0.5604026
chr3_188049643_188050572,0.5603825
chr1_97937791_97938656,0.56019604
chr5_74974246_74975310,0.55957323
chr1_236003937_236004597,0.5595679
chr3_50472853_50473521,0.5594618
chr20_33408955_33409740,0.5589275
chr5_36657420_36658075,0.5587316
chr17_4045491_4045946,0.55869174
chr11_114077140_114078386,0.5585847
chr11_14319751_14320612,0.5584692
chr14_68598562_68599526,0.5584583
chr2_38178905_38179536,0.55845034
chr10_14812106_14812866,0.558408
chr3_15300258_15301382,0.5583502
chr14_68950971_68951606,0.55824566
chr5_135386046_135387566,0.5581912
chr6_158255990_158256741,0.5579809
chr3_131042197_131042914,0.55794054
chr12_64399926_64400529,0.55791813
chr11_121459102_121460163,0.55785775
chr11_95720124_95720661,0.5577971
chr13_99484307_99484957,0.5576653
chr14_74571557_74572590,0.55742186
chrX_9530675_9531269,0.5573247
chr7_101717359_101718445,0.557257
chrX_70755787_70756364,0.55715543
chr11_129825335_129825824,0.5571522
chr15_59492789_59493364,0.55713415
chr17_65523227_65524238,0.55701363
chr15_59177033_59177747,0.5568875
chr15_59255990_59256449,0.55668235
chr7_105448088_105448610,0.5565969
