,factor_10
chr4_6180505_6181627,0.79508245
chr1_53409765_53410570,0.7477072
chr12_22408984_22411010,0.73151654
chr6_46325469_46326259,0.73012304
chr4_6198085_6202083,0.7232138
chr7_134640830_134641732,0.7219201
chr2_223759894_223762228,0.7184753
chr11_115217787_115218484,0.7084846
chr3_112672177_112673601,0.70176655
chr1_184840235_184841339,0.6858033
chr7_129553884_129554654,0.6833445
chr16_23482699_23483885,0.68162185
chr11_115222148_115223246,0.67625207
chr16_57815975_57816865,0.6748647
chr3_45963953_45966157,0.6744423
chr4_970161_971067,0.6703791
chr5_74974246_74975310,0.66325736
chr14_74573760_74575149,0.6631696
chr17_65173211_65174142,0.66084194
chr6_152565957_152566686,0.65995795
chr11_36384891_36385741,0.6589951
chr4_6177668_6178274,0.65804595
chr3_46279120_46280827,0.6559118
chr12_104687306_104688644,0.65530694
chr1_184843540_184844383,0.6534981
chr6_108895572_108896778,0.65204155
chr5_1518559_1519417,0.6518918
chr2_70043209_70044187,0.6486201
chr10_98391000_98391912,0.64828366
chr4_7827907_7830124,0.64814126
chr1_158819162_158820122,0.6463379
chr5_88140675_88142774,0.645991
chr17_47809907_47810710,0.6456682
chr16_81523432_81524960,0.64519507
chr12_6773761_6775871,0.64517146
chr11_114080000_114080791,0.6434636
chr3_50472853_50473521,0.64261276
chr12_122166379_122167437,0.6412418
chr9_127719211_127720938,0.6404622
chr4_36189425_36190378,0.640165
chr16_78794543_78795370,0.63916236
chr1_46549523_46550334,0.6383187
chr4_6179200_6179833,0.63788533
chr11_36431686_36432297,0.637761
chr3_188553299_188554767,0.6376521
chr22_39115023_39118559,0.63567173
chr17_80720552_80721720,0.6348697
chr3_46283774_46285695,0.63472486
chr15_50751271_50751861,0.63433415
chr12_10309995_10312926,0.6341083
chr4_26308469_26309069,0.63364124
chr7_34991820_34992873,0.6326755
chr10_6558035_6559270,0.6326368
chr1_174153065_174154083,0.6325227
chr1_98387783_98388997,0.63246673
chr2_36800258_36801503,0.63099176
chr11_36352300_36353514,0.630581
chr16_4059698_4060648,0.6297362
chr1_169311930_169312868,0.62968427
chr14_64673476_64674263,0.62812567
chr6_155093344_155093921,0.62707067
chr6_158808735_158809689,0.6254133
chr7_105344980_105347327,0.6240758
chr3_114323432_114324543,0.6231448
chr11_115267731_115268325,0.62081355
chr6_13430907_13434151,0.62027097
chr8_29049832_29050647,0.6202082
chr1_184491425_184492454,0.61997235
chr20_62922341_62923087,0.6195517
chr12_10602565_10603306,0.6194653
chr7_36686285_36687440,0.61843884
chr19_18474816_18475699,0.6172041
chr3_20080845_20081679,0.6170726
chr7_38220003_38221070,0.6169538
chr19_19451243_19452634,0.6167662
chr3_187987786_187988574,0.6166837
chr16_87865758_87867177,0.61658144
chr17_65179063_65182691,0.6164464
chr14_64696367_64696940,0.6157386
chr2_9681050_9681911,0.61543393
chr11_103958509_103959756,0.61526436
chr3_45946303_45947297,0.6148447
chr3_37216466_37217763,0.61462796
chr17_67486562_67487485,0.61458766
chr17_4043726_4044376,0.6143501
chr4_6134543_6135056,0.613015
chr2_202277905_202279028,0.6128054
chr20_8428905_8429454,0.6127996
chr3_4393992_4394823,0.61271644
chr6_108921103_108922224,0.61249036
chr17_74471225_74471787,0.61208075
chr19_5086277_5086626,0.6120762
chr10_62383476_62385178,0.61129737
chr3_114293447_114300644,0.61046034
chr3_46067071_46069124,0.61018085
chr2_234071598_234072188,0.610109
chr6_135537518_135538632,0.6096905
chr3_111693152_111696424,0.6096687
chr3_28326100_28327144,0.60945153
chr20_35251304_35252718,0.6072889
