,factor_11
chr15_89821021_89822432,0.7953626
chr1_12143117_12144329,0.7760934
chr11_72807227_72808716,0.77531374
chr5_17118499_17119232,0.7653448
chr21_34834943_34837035,0.7606836
chr12_9117938_9118772,0.7528759
chr16_19130518_19132783,0.7435895
chr7_101717359_101718445,0.7431362
chr1_46594985_46595670,0.7337225
chr15_45447899_45448852,0.73124987
chr7_5420065_5425996,0.7302845
chr2_236871322_236872327,0.72838
chr5_78540265_78541649,0.72731453
chr1_39934225_39935047,0.7253485
chr5_135391935_135393689,0.7232705
chr14_68598562_68599526,0.722399
chr11_35227577_35229025,0.71919125
chr22_50303723_50304973,0.7188625
chr2_20185547_20186883,0.71886003
chr10_124144953_124145816,0.71875906
chr14_68950971_68951606,0.71581304
chr17_62170292_62171888,0.71520865
chr9_127838320_127839160,0.7148476
chr5_36657420_36658075,0.71152383
chr7_20219351_20221584,0.7104303
chr10_33620969_33621582,0.7102203
chr7_112080340_112082215,0.70990705
chr4_3387322_3389481,0.7098836
chr3_183370703_183371886,0.7095011
chr7_151844089_151844931,0.70915335
chr9_127835547_127836400,0.7076595
chr11_47390883_47391711,0.70742434
chr16_73068441_73069334,0.7073657
chr11_113188225_113189061,0.70661193
chr7_77238566_77239917,0.7062979
chr5_135386046_135387566,0.70626944
chr1_212485762_212486600,0.70603055
chr16_81551129_81551939,0.70479184
chr4_40576468_40577695,0.70477223
chr1_10377340_10378869,0.70282304
chr14_64654090_64655282,0.7023711
chr6_11770533_11771274,0.7022003
chr17_10062707_10064353,0.70164984
chr8_61759949_61760761,0.70143986
chr20_32155001_32155750,0.7011115
chr11_75771548_75772135,0.7008963
chr15_58526195_58527071,0.70080644
chr14_23078607_23079135,0.7006805
chr3_183380192_183382987,0.6984057
chr11_12159335_12160064,0.69784343
chr17_78442559_78443213,0.69736576
chr21_38831209_38832169,0.69613373
chr11_130146214_130147395,0.6950002
chr14_69013931_69015261,0.69344854
chr10_124142884_124143433,0.693081
chr14_69042851_69043930,0.69303626
chr9_79868613_79869251,0.6896826
chr7_6423170_6424881,0.68949354
chr15_58521279_58522054,0.687909
chr13_30785121_30785667,0.6873495
chr7_139860018_139860885,0.68710095
chr12_49824835_49825745,0.68675613
chr3_45133716_45134382,0.685642
chr11_36411013_36411917,0.6839309
chr3_143135046_143135659,0.6828904
chr3_171936394_171936951,0.68284076
chr7_151795151_151798057,0.6816461
chr6_158057185_158058828,0.6812347
chr1_184792477_184793143,0.68122935
chr9_36153601_36155095,0.6787462
chr7_157854116_157854824,0.6786621
chr21_38811138_38811743,0.6783456
chr3_119570101_119570831,0.67761576
chr6_52352171_52353047,0.6772548
chr1_212488476_212489087,0.67719597
chr1_212532374_212532894,0.67676
chr11_130123971_130124575,0.67672354
chr10_45460255_45461527,0.6757032
chr11_113190231_113190840,0.67521876
chr4_102734096_102735198,0.67509824
chr8_16361787_16362992,0.67493755
chr11_129825335_129825824,0.67486197
chr11_47392987_47395728,0.67476463
chr8_102795012_102796000,0.6746651
chr11_33722475_33723906,0.67460966
chr4_2803609_2804107,0.6745675
chr1_212498137_212498697,0.672601
chrX_1316439_1317087,0.67227036
chr4_38075232_38075939,0.67195225
chr7_138257459_138258461,0.67154616
chr6_109686873_109687807,0.67147475
chr7_30184806_30185549,0.6714454
chr15_45445092_45445869,0.67123103
chr20_32112793_32113336,0.67037237
chr11_12124585_12125262,0.6697838
chr12_6643599_6644647,0.66971195
chr16_57893672_57894436,0.669309
chr17_78198674_78199550,0.66872585
chr18_48715593_48716411,0.668186
chr18_9494607_9495193,0.6680495
